row_index,country,date,total_cases,total_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,datestamp
52,Nigeria,05/16/2020,5450,171,1320,3959,7,29.15,0.91,30657,163.95,2020-05-15 18:00:06.5112390 -05:00
53,Afghanistan,05/16/2020,6402,168,745,5489,19,231.48,6.07,21967,794.26,2020-05-16 06:00:04.8819080 -05:00
54,Bolivia,05/16/2020,3577,164,434,2979,3,325.62,14.93,14803,1347.56,2020-05-16 15:00:04.8794330 -05:00
55,Greece,05/16/2020,2819,162,1374,1283,23,259.62,14.92,126283,11630.39,2020-05-16 11:00:05.3358890 -05:00
56,Belarus,05/16/2020,28681,160,9498,19023,92,3019.47,16.84,335057,35273.98,2020-05-16 07:00:04.7600490 -05:00
57,Cameroon,05/16/2020,3105,140,1567,1398,28,136.72,6.16,0,0.00,2020-05-15 21:00:06.6747910 -05:00
58,Honduras,05/16/2020,2460,134,264,2062,10,286.83,15.62,5653,659.12,2020-05-15 21:00:06.6747910 -05:00
59,Bosnia and Herzegovina,05/16/2020,2267,129,1355,783,4,642.00,36.53,48528,13742.80,2020-05-16 09:00:04.9171840 -05:00
60,Iraq,05/16/2020,3260,121,2126,1013,0,86.05,3.19,140573,3710.66,2020-05-16 11:00:05.3358890 -05:00
61,Malaysia,05/16/2020,6872,113,5512,1247,13,218.82,3.60,434136,13823.60,2020-05-16 06:00:04.8819080 -05:00
62,Kuwait,05/16/2020,13802,107,3843,9852,169,3299.03,25.58,240716,57537.21,2020-05-16 09:00:04.9171840 -05:00
63,Bulgaria,05/16/2020,2175,105,573,1497,45,304.03,14.68,64480,9013.41,2020-05-16 04:00:04.3654140 -05:00
64,Luxembourg,05/16/2020,3930,104,3699,127,15,6820.55,180.49,60246,104557.45,2020-05-16 13:00:06.3589060 -05:00
65,Slovenia,05/16/2020,1465,103,272,1090,6,709.72,49.90,68852,33355.49,2020-05-16 08:00:05.4532130 -05:00
66,Australia,05/16/2020,7036,98,6362,576,16,291.74,4.06,1015652,42112.90,2020-05-16 15:00:04.8794330 -05:00
67,North Macedonia,05/16/2020,1762,98,1267,397,21,855.95,47.61,21010,10206.27,2020-05-16 06:00:04.8975640 -05:00
68,Sudan,05/16/2020,2289,97,222,1970,0,57.80,2.45,0,0.00,2020-05-16 15:31:56.4265370 -05:00
69,Croatia,05/16/2020,2224,95,1913,216,9,530.70,22.67,52425,12509.94,2020-05-16 08:00:05.4532130 -05:00
